First Term Gpa,Second Term Gpa,First Language,Funding,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,Math Score,English Grade,FirstYearPersistence
3.882353,3.605263,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,25.0,Level-170,1
2.210526,2.363636,English,Second Career Program,N,N,Domestic,Male,HighSchool,41 to 50,16.0,Level-170,1
4.217391,4.333333,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,41 to 50,46.0,Level-171,1
3.354167,3.681818,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,20.0,Level-160,1
2.928571,2.375,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,36.0,Level-170,1
3.452381,1.090909,Other,Intl Regular,N,Y,International,Male,HighSchool,21 to 25,47.0,Level-171,1
3.068182,2.977273,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,32.0,Level-170,1
3.818182,3.75,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,47.0,Level-171,1
1.230769,1.625,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,23.0,Level-160,1
3.916667,3.815789,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,39.0,Level-170,1
1.176471,1.95,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,16.0,Level-160,1
2.275,1.9,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-141,0
3.875,4.119048,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,40.0,Level-171,1
1.568182,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,29.0,Level-161,0
4.434783,4.46,English,GPOG_FT,Y,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
2.416667,2.365385,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-160,1
1.59375,2.978261,Other,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,36.0,Level-160,1
2.304348,1.809524,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.5,3.5,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-141,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,29.0,Level-160,0
4.095238,3.97619,English,GPOG_FT,N,N,Domestic,Female,HighSchool,0 to 18,32.55794871794872,Level-170,1
3.354167,3.821429,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
0.0,2.820175578700078,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,0
3.083333,3.522727,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,21 to 25,42.0,Level-170,0
4.261905,4.340909,English,Second Career Program,N,N,Domestic,Male,PostSecondary,51 to 60,38.0,Level-170,1
4.23913,4.0,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,26.0,Level-170,1
2.9,2.886364,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.5,3.692308,Other,Intl Regular,Y,N,International,Female,PostSecondary,26 to 30,32.55794871794872,Level-161,1
3.565217,3.28,Other,Intl Regular,Y,N,International,Male,HighSchool,19 to 20,32.55794871794872,Level-170,1
1.525,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,16.0,Level-170,0
2.0,1.388889,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,22.0,Level-160,0
1.285714,1.458333,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-171,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,26 to 30,25.0,Level-170,0
3.409091,3.194444,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,15.0,Level-170,1
3.173913,3.18,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
2.1,2.386364,English,Intl Regular,N,N,International,Male,HighSchool,21 to 25,44.0,Level-161,0
3.025,3.275,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,29.0,Level-170,1
2.434783,2.307692,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
3.568182,3.236842,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,45.0,Level-170,1
2.90625,1.884615,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,27.0,Level-170,1
3.35,3.361111,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,46.0,Level-141,1
4.131579,3.891304,French,GPOG_FT,N,N,Domestic,Male,PostSecondary,36 to 40,46.0,Level-161,1
4.357143,4.409091,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,48.0,Level-171,1
4.076923,4.434783,English,GPOG_FT,Y,N,Domestic,Male,PostSecondary,41 to 50,32.55794871794872,Level-171,1
0.947368,2.03125,English,GPOG_FT,N,N,Domestic,Female,HighSchool,0 to 18,14.0,Level-160,0
4.08,4.175,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,41 to 50,21.0,Level-170,1
3.895833,3.857143,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,19 to 20,21.0,Level-170,1
2.289474,2.478261,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,15.0,Level-160,1
3.16,3.545455,English,GPOG_FT,N,N,Domestic,Female,HighSchool,0 to 18,38.0,Level-170,1
3.428571,3.4,Other,Intl Regular,N,N,International,Male,HighSchool,26 to 30,43.0,Level-161,1
3.541667,3.021739,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,30.0,Level-170,1
3.904762,2.590909,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,42.0,Level-170,1
4.285714,4.019231,Other,Intl Transfer,N,N,International,Female,HighSchool,21 to 25,49.0,Level-161,1
3.942308,3.769231,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-141,1
3.673913,3.942308,English,Intl Regular,Y,N,International,Male,PostSecondary,31 to 35,32.55794871794872,Level-160,1
3.880952,3.0,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,43.0,Level-170,1
3.52,3.391304,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,40.0,Level-140,1
3.916667,3.769231,Other,GPOG_FT,Y,Y,Domestic,Male,PostSecondary,41 to 50,32.55794871794872,Level-171,1
3.708333,3.25,English,Intl Transfer,N,N,International,Male,HighSchool,19 to 20,48.0,Level-160,1
3.804348,3.565217,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,39.0,Level-170,1
4.021739,3.74,English,GPOG_FT,Y,N,Domestic,Female,PostSecondary,31 to 35,32.55794871794872,Level-171,1
3.041667,3.303571,Other,Intl Regular,Y,N,International,Male,HighSchool,26 to 30,32.55794871794872,Level-160,1
2.421053,1.076923,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,24.0,Level-160,1
2.833333,3.318182,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,0
4.304348,4.0,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,44.0,Level-170,1
4.238095,3.891304,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,36 to 40,48.0,Level-171,1
3.568182,3.148148,Other,Intl Regular,Y,N,International,Male,HighSchool,26 to 30,32.55794871794872,Level-170,1
4.022727,3.796296,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-171,1
2.416667,3.527778,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,49.0,Level-171,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,32.55794871794872,Level-170,0
4.434783,4.277778,Other,Intl Regular,N,N,International,Male,PostSecondary,19 to 20,49.0,Level-171,1
2.090909,1.833333,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,17.0,Level-140,1
3.04,3.083333,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,26 to 30,27.0,Level-170,1
2.891304,2.788462,Other,Intl Regular,Y,N,International,Male,PostSecondary,26 to 30,32.55794871794872,Level-161,1
3.55,3.6,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,37.0,Level-170,1
2.386364,2.820175578700078,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-140,0
2.15,2.820175578700078,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,28.0,Level-170,0
0.0,0.0,Other,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,26.0,Level-160,0
0.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,37.0,Level-160,0
0.0,1.45,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,32.55794871794872,Level-131,1
3.857143,3.568182,Other,Intl Regular,N,N,International,Female,PostSecondary,19 to 20,38.0,Level-171,1
3.833333,3.464286,Other,Intl Regular,Y,Y,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
4.0,3.630435,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,45.0,Level-161,1
3.227273,3.136364,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,41.0,Level-161,1
3.043478,3.166667,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,19 to 20,38.0,Level-170,1
3.547619,3.282609,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,12.0,Level-161,1
3.078947,2.636364,English,GPOG_FT,N,N,Domestic,Male,HighSchool,26 to 30,22.0,Level-160,1
0.24,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,17.0,Level-160,0
2.722222,2.659091,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,21.0,Level-161,1
2.55,2.772727,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
3.5,3.416667,Other,GPOG_FT,N,Y,Domestic,Female,PostSecondary,31 to 35,43.0,Level-141,1
3.06,2.538462,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
2.525,2.261905,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
0.54,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,24.0,Level-160,0
3.568182,3.763158,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,38.0,Level-171,0
3.272727,1.5,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,32.55794871794872,Level-160,1
2.521739,2.7,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-171,0
4.065217,3.934783,English,Intl Transfer,N,N,International,Male,HighSchool,31 to 35,49.0,Level-161,1
3.222222,3.448276,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
4.159091,4.236842,Other,Intl Regular,N,N,International,Male,,36 to 40,48.0,Level-171,0
0.0,2.820175578700078,Other,Intl Regular,N,N,International,Female,PostSecondary,19 to 20,32.55794871794872,Level-161,0
2.357143,2.970588,English,GPOG_FT,N,N,Domestic,Female,HighSchool,21 to 25,32.0,Level-170,1
4.194444,4.055556,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
4.095238,4.222222,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
3.729167,3.729167,Other,Intl Regular,N,N,International,Male,HighSchool,21 to 25,45.0,Level-161,1
3.454545,2.820175578700078,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,23.0,Level-160,0
3.08,2.65,Other,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,35.0,Level-160,1
3.5,2.846154,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,36 to 40,47.0,Level-141,1
3.0,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,21 to 25,26.0,Level-170,0
2.447368,2.394737,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,32.55794871794872,Level-160,1
0.0,2.820175578700078,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,12.0,Level-141,0
0.0,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,29.0,Level-160,1
2.9,3.0,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
2.2,3.125,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,36 to 40,19.0,Level-170,1
2.1,0.596154,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,22.0,Level-170,0
2.04,1.159091,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,32.0,Level-170,1
1.26087,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,21.0,Level-161,0
3.02,2.15,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,48.0,Level-170,1
3.913043,2.833333,English,GPOG_FT,Y,N,Domestic,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,0
3.73913,3.809524,Other,Intl Regular,N,Y,International,Male,HighSchool,19 to 20,47.0,Level-161,1
4.5,4.333333,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
2.472222,2.65625,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,42.0,Level-171,1
3.021739,3.833333,English,Intl Regular,N,N,International,Male,HighSchool,0 to 18,39.0,Level-170,1
2.846073103521127,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,17.0,Level-160,0
3.759259,4.019231,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
4.22,4.136364,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,47.0,Level-170,1
0.32,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,15.0,Level-170,0
3.73913,3.571429,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
2.15,2.820175578700078,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,0
2.428571,1.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,21.0,Level-160,0
3.434783,3.428571,Other,Intl Regular,N,N,International,Female,HighSchool,19 to 20,37.0,Level-141,1
1.535714,1.117647,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
0.705882,2.820175578700078,Other,GPOG_FT,N,Y,Domestic,Male,PostSecondary,21 to 25,47.0,Level-170,0
4.113636,3.977273,Other,GPOG_FT,N,N,Domestic,Female,PostSecondary,31 to 35,46.0,Level-161,1
2.846073103521127,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,21.0,Level-170,0
3.4,3.090909,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
2.657895,1.888889,English,Intl Regular,N,N,International,Male,,21 to 25,14.0,Level-161,1
3.826923,4.347826,English,Intl Regular,Y,Y,International,Male,PostSecondary,26 to 30,32.55794871794872,Level-170,1
1.086957,1.45,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,32.55794871794872,Level-160,0
3.28,2.795455,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,1
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,19 to 20,16.0,Level-170,0
3.75,3.02381,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,46.0,Level-170,1
0.0,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,32.55794871794872,Level-170,0
2.318182,0.0,English,GPOG_FT,N,N,Domestic,Female,HighSchool,19 to 20,17.0,Level-170,1
4.057692,3.73913,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
1.973684,1.204545,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,32.55794871794872,Level-160,1
2.846073103521127,2.820175578700078,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,33.0,Level-141,0
2.571429,0.0,English,GPOG_FT,N,N,Domestic,Male,,21 to 25,19.0,Level-160,0
3.391304,2.547619,Other,Intl Regular,Y,Y,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
4.2,4.142857,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,25.0,Level-140,1
2.73913,2.64,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
3.694444,3.166667,Other,Intl Regular,Y,N,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-161,1
2.804348,3.0,Other,Intl Regular,N,N,International,Male,HighSchool,0 to 18,42.0,Level-161,1
3.0,3.153846,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
1.0,1.538462,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,41 to 50,19.0,Level-160,0
1.071429,0.0,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,31.0,Level-170,1
3.565217,4.0,English,GPOG_FT,Y,Y,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
4.309524,4.190476,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,26 to 30,39.0,Level-170,1
2.033333,2.071429,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-170,1
